,id,mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
1008,1009,11,60,27,0,0,0,0,0,2,16,2,1,0,10,82,21,3,0,729,1,0,0,0,0,0,1,1
1009,1010,7,64,24,0,1,0,0,2,3,15,3,1,1,0,0,0,5,0,576,1,2,1,0,0,0,0,0
1010,1011,1,66,22,0,0,0,0,6,1,18,1,1,0,6,86,20,5,7,484,1,6,0,0,0,1,0,1
1011,1012,8,52,36,0,1,0,1,7,7,19,7,1,1,10,71,19,7,7,1296,1,7,0,0,1,0,0,1
1013,1014,6,47,41,0,1,0,1,7,6,21,6,1,1,8,77,30,6,7,1681,1,7,0,0,0,1,0,1
1015,1016,6,60,28,0,1,0,1,0,2,21,2,1,1,9,76,16,3,7,784,1,0,0,0,0,1,1,1
1018,1019,3,51,37,0,1,0,1,2,8,19,8,1,0,7,71,20,6,0,1369,1,2,0,0,0,1,0,1
1020,1021,4,58,30,0,0,0,0,5,5,17,5,1,1,9,77,19,5,2,900,1,5,1,0,0,1,0,1
1021,1022,4,68,20,0,1,0,0,10,1,20,1,1,0,8,85,17,4,7,400,1,10,1,0,0,1,0,1
1022,1023,6,70,18,0,1,0,0,7,1,18,1,1,0,0,0,0,4,0,324,1,7,0,0,0,1,0,0
1023,1024,4,58,30,0,1,0,1,0,9,11,9,1,1,5,68,10,10,0,900,1,0,1,0,0,1,1,1
1026,1027,11,64,23,0,0,0,0,2,2,17,1,1,0,5,85,20,5,10,529,1,2,0,0,0,0,0,1
1027,1028,4,63,25,1,1,1,0,7,3,14,3,1,1,11,85,22,4,10,625,1,7,0,0,0,1,0,1
1028,1029,6,40,48,0,1,0,0,4,4,15,4,1,0,2,70,29,4,0,2304,1,4,1,0,0,1,0,1
1030,1031,7,49,39,0,1,0,0,4,6,12,5,1,1,12,80,31,7,7,1521,1,4,0,0,1,0,0,1
1032,1033,7,62,26,0,1,0,0,8,4,17,3,1,1,1,87,24,4,10,676,1,8,0,0,1,0,0,1
1033,1034,1,56,32,0,1,0,1,3,4,18,4,1,1,2,84,28,6,5,1024,1,3,0,1,0,1,0,1
1035,1036,1,65,23,0,0,0,1,7,3,19,3,1,1,1,83,18,6,10,529,1,7,1,0,0,1,0,1
1036,1037,12,65,22,0,1,0,0,7,1,18,1,1,1,0,0,0,4,0,484,1,7,1,0,0,0,0,0
1037,1038,7,67,21,0,1,0,0,6,1,17,1,1,1,2,84,16,4,7,441,1,6,0,0,0,0,0,1
1038,1039,6,63,25,0,1,0,0,12,2,21,2,1,1,6,88,25,0,10,625,1,12,1,0,0,1,0,1
1039,1040,3,69,19,0,1,0,0,3,1,17,1,1,0,0,0,0,1,0,361,1,3,1,0,0,1,0,0
1040,1041,5,66,22,0,1,0,0,7,2,18,2,1,1,0,0,0,1,0,484,1,7,0,0,0,1,0,0
1044,1045,12,57,30,0,0,0,0,0,3,18,3,1,1,0,0,0,4,0,900,1,0,1,0,0,0,1,0
1045,1046,8,60,28,0,1,0,0,7,4,18,3,1,1,0,0,0,3,0,784,1,7,0,0,0,0,0,0
1046,1047,8,66,22,0,1,0,0,7,2,19,2,1,0,0,0,0,5,0,484,1,7,1,0,0,0,0,0
1047,1048,5,51,37,0,1,0,1,0,8,18,8,1,0,11,68,17,8,4,1369,1,0,1,0,0,1,1,1
1050,1051,6,59,29,0,0,1,0,9,1,23,1,1,0,0,0,0,4,0,841,1,9,0,0,1,1,0,0
1051,1052,3,41,47,0,1,0,0,4,5,16,5,1,0,3,85,44,6,7,2209,1,4,1,0,0,1,0,1
1052,1053,4,72,16,0,1,0,0,7,1,16,1,1,0,0,0,0,4,0,256,1,7,0,0,0,1,0,0
1053,1054,7,68,20,0,1,0,1,7,1,17,1,1,1,4,86,17,4,10,400,1,7,1,0,0,0,0,1
1054,1055,12,63,24,1,1,0,1,7,1,20,1,1,1,0,0,0,1,0,576,1,7,1,0,0,0,0,0
1055,1056,4,57,31,0,1,0,1,0,4,20,4,1,0,6,78,21,4,5,961,1,0,1,0,0,1,1,1
1056,1057,10,69,19,0,1,0,1,10,2,18,2,1,1,0,0,0,5,0,361,1,10,1,0,0,0,0,0
1057,1058,4,54,34,0,1,0,1,0,11,16,8,1,0,3,70,15,12,0,1156,1,0,1,0,0,1,1,1
1058,1059,6,61,27,0,1,0,1,0,2,18,2,1,0,0,0,0,0,0,729,1,0,1,0,0,1,1,0
1059,1060,10,59,29,0,1,0,1,0,6,11,4,1,0,11,69,10,6,10,841,1,0,0,0,0,0,1,1
1060,1061,6,68,20,0,1,0,1,10,1,19,1,1,0,0,0,0,4,0,400,1,10,0,0,0,1,0,0
1061,1062,6,58,30,0,1,0,1,4,2,16,2,1,1,6,82,24,3,7,900,1,4,0,0,0,1,0,1
1064,1065,12,62,25,0,1,0,1,7,3,19,3,1,0,0,0,0,4,0,625,1,7,1,0,0,0,0,0
1065,1066,10,58,30,0,0,0,0,5,6,16,6,1,1,10,80,22,6,0,900,1,5,1,0,0,0,0,1
1066,1067,5,66,22,0,1,0,1,0,1,22,1,1,0,6,87,21,1,0,484,1,0,0,0,0,1,1,1
1067,1068,3,52,36,0,1,0,0,1,6,19,5,1,1,3,73,21,2,7,1296,1,1,1,0,0,1,0,1
1069,1070,6,44,44,0,0,0,0,0,9,16,8,1,1,2,71,26,4,0,1936,1,0,1,0,0,1,1,1
1070,1071,1,71,17,0,0,0,0,7,1,16,1,1,1,0,0,0,2,0,289,1,7,1,0,0,1,0,0
1073,1074,10,56,32,0,1,0,0,7,5,16,5,1,1,3,77,20,4,7,1024,1,7,0,1,0,0,0,1
1074,1075,6,58,30,1,1,1,0,12,1,20,1,1,1,0,0,0,2,0,900,1,12,0,1,0,1,0,0
1076,1077,2,58,30,0,1,0,0,10,2,15,2,1,1,10,87,29,4,10,900,1,10,0,0,1,1,0,1
1077,1078,6,40,48,0,1,0,0,7,10,19,9,1,1,9,69,29,10,7,2304,1,7,0,0,1,1,0,1
1080,1081,9,58,30,0,1,0,0,8,2,18,2,1,1,0,0,0,2,0,900,1,8,0,0,1,0,0,0
1083,1084,7,59,29,0,0,0,0,10,8,19,8,1,0,8,84,25,8,10,841,1,10,0,1,0,0,0,1
1085,1086,9,66,21,0,0,0,0,7,2,18,2,1,1,1,88,21,4,7,441,1,7,0,0,0,0,0,1
1086,1087,8,66,22,0,0,0,0,7,2,16,2,1,1,8,84,18,6,7,484,1,7,0,0,0,0,0,1
1087,1088,1,52,36,0,0,0,0,0,6,16,6,1,1,1,84,32,8,4,1296,1,0,0,0,0,1,1,1
1090,1091,11,57,30,0,1,0,0,7,3,18,3,1,1,10,76,18,3,0,900,1,7,0,1,0,0,0,1
1091,1092,6,53,35,0,1,0,0,7,2,23,2,1,1,11,87,34,3,0,1225,1,7,1,0,0,1,0,1
1092,1093,9,49,38,0,1,0,0,7,6,17,6,1,1,6,80,30,2,7,1444,1,7,1,0,0,0,0,1
1094,1095,12,61,26,0,1,0,1,10,2,17,2,1,1,0,0,0,5,0,676,1,10,1,0,0,0,0,0
1095,1096,6,46,42,0,1,0,1,6,8,18,8,1,1,9,67,21,4,1,1764,1,6,1,0,0,1,0,1
1099,1100,1,52,36,0,0,0,0,7,6,21,5,1,1,0,0,0,6,0,1296,1,7,1,0,0,1,0,0
1101,1102,8,64,24,0,0,0,0,7,1,18,1,1,1,0,0,0,6,0,576,1,7,1,0,0,0,0,0
1102,1103,9,64,23,0,0,0,1,7,1,17,1,1,1,0,0,0,4,0,529,1,7,0,0,0,0,0,0
1103,1104,9,47,40,0,1,0,1,6,4,21,4,1,1,10,73,26,5,7,1600,1,6,1,0,0,0,0,1
1104,1105,11,60,27,0,1,0,0,6,1,18,1,1,0,0,0,0,8,0,729,1,6,1,0,0,0,0,0
1105,1106,9,46,41,0,1,0,0,6,6,23,6,1,1,7,65,18,6,9,1681,1,6,0,1,0,0,0,1
1106,1107,9,66,21,0,1,1,1,10,1,21,1,1,0,0,0,0,4,0,441,1,10,0,0,0,0,0,0
1109,1110,9,47,40,0,1,0,1,7,9,16,7,1,0,6,60,12,7,7,1600,1,7,0,0,1,0,0,1
1112,1113,7,57,31,0,1,0,0,0,5,18,5,1,0,6,72,14,5,7,961,1,0,1,0,0,0,1,1
1113,1114,2,45,43,0,0,0,0,0,2,18,2,0,0,11,68,23,0,7,1849,1,0,0,0,1,1,1,1
1114,1115,5,72,16,0,1,0,1,7,1,16,1,1,1,0,0,0,6,0,256,1,7,0,0,0,1,0,0
1115,1116,3,61,27,0,1,0,1,0,4,18,4,1,1,8,74,13,5,2,729,1,0,0,0,0,1,1,1
1116,1117,4,50,38,0,1,0,0,7,3,20,3,1,1,0,0,0,6,0,1444,1,7,0,0,1,1,0,0
1118,1119,6,45,43,0,0,0,0,0,8,19,7,1,1,7,64,19,3,5,1849,1,0,1,0,0,1,1,1
1119,1120,6,61,27,0,0,0,0,10,2,20,2,1,1,0,0,0,2,0,729,1,10,1,0,0,1,0,0
1123,1124,6,56,32,0,1,0,1,7,3,17,3,1,1,0,0,0,4,0,1024,1,7,1,0,0,1,0,0
1125,1126,5,59,29,0,1,0,1,7,2,16,1,1,0,5,75,16,4,10,841,1,7,1,0,0,1,0,1
1126,1127,11,46,41,0,0,0,1,3,6,26,4,1,1,8,62,15,3,10,1681,1,3,1,0,0,0,0,1
1127,1128,8,47,41,0,1,0,0,1,8,14,7,1,1,9,63,16,6,0,1681,1,1,1,0,0,0,0,1
1128,1129,8,55,33,0,1,0,0,5,7,18,7,1,0,12,74,19,5,3,1089,1,5,1,0,0,0,0,1
1129,1130,3,47,41,0,1,0,1,5,5,21,5,1,1,2,69,21,1,2,1681,1,5,0,0,1,1,0,1
1131,1132,1,59,29,0,1,0,0,5,6,17,6,1,1,7,75,16,4,0,841,1,5,1,0,0,1,0,1
1132,1133,11,67,20,0,1,0,0,6,2,16,2,1,0,0,0,0,2,0,400,1,6,1,0,0,0,0,0
1134,1135,12,38,49,1,1,1,0,15,4,26,4,1,1,3,59,20,2,15,2401,1,15,0,0,1,0,0,1
1135,1136,7,52,36,1,1,1,1,13,2,20,2,1,1,10,72,20,2,16,1296,1,13,0,1,0,0,0,1
1137,1138,9,68,19,0,1,0,1,12,1,18,1,1,1,0,0,0,2,0,361,1,12,0,0,1,0,0,0
1138,1139,7,44,44,1,1,1,0,11,2,19,2,1,1,6,63,18,2,15,1936,1,11,0,0,0,0,0,1
1139,1140,4,52,36,1,1,1,1,10,7,20,6,1,1,1,71,18,6,10,1296,1,10,0,1,0,1,0,1
1140,1141,4,68,20,1,1,1,1,5,1,18,1,1,0,0,0,0,3,0,400,1,5,1,0,0,1,0,0
1141,1142,9,62,26,0,1,0,1,7,4,17,4,1,1,7,82,19,4,10,676,1,7,1,0,0,0,0,1
1143,1144,12,54,33,1,1,1,0,7,4,22,4,1,1,9,72,17,4,7,1089,1,7,0,1,0,0,0,1
1144,1145,1,63,25,1,1,1,0,7,1,19,1,1,1,0,0,0,4,0,625,1,7,0,1,0,1,0,0
1145,1146,11,62,25,0,1,0,0,7,1,18,1,1,1,9,84,21,3,7,625,1,7,0,0,0,0,0,1
1146,1147,3,52,36,1,1,1,1,7,4,17,4,1,1,11,73,21,4,10,1296,1,7,0,1,0,1,0,1
1147,1148,6,66,22,0,0,0,0,10,1,18,1,1,1,0,0,0,10,0,484,1,10,1,0,0,1,0,0
1148,1149,3,68,20,0,1,0,0,12,1,17,1,1,1,2,87,18,2,17,400,1,12,0,0,1,1,0,1
1149,1150,3,59,29,0,1,0,0,3,1,16,1,1,0,8,79,20,8,7,841,1,3,0,0,0,1,0,1
1150,1151,11,61,26,0,1,0,0,10,1,24,1,1,1,0,0,0,2,0,676,1,10,1,0,0,0,0,0
1151,1152,3,49,39,1,1,0,0,7,2,22,2,1,0,0,0,0,4,0,1521,1,7,1,0,0,1,0,0
1155,1156,1,68,20,0,1,0,0,10,1,19,1,1,0,0,0,0,8,0,400,1,10,1,0,0,1,0,0
1156,1157,3,62,26,0,1,0,0,2,2,22,2,1,0,11,85,23,5,7,676,1,2,1,0,0,1,0,1
1157,1158,2,70,18,0,1,0,0,7,1,16,1,1,1,0,0,0,3,0,324,1,7,0,0,0,1,0,0
1159,1160,4,61,27,0,1,0,0,7,3,17,3,1,1,0,0,0,4,0,729,1,7,1,0,0,1,0,0
1160,1161,10,44,44,1,1,1,0,3,6,23,4,1,1,0,0,0,4,0,1936,1,3,1,0,0,0,0,0
1162,1163,11,57,30,0,1,0,1,8,4,21,4,1,1,0,0,0,4,0,900,1,8,1,0,0,0,0,0
1164,1165,8,66,22,1,1,1,0,6,1,17,1,1,1,0,0,0,4,0,484,1,6,1,0,0,0,0,0
1165,1166,9,62,26,1,1,0,0,10,1,23,1,1,0,0,0,0,4,0,676,1,10,1,0,0,0,0,0
1168,1169,6,39,49,0,1,0,1,3,1,20,1,1,0,12,80,41,3,0,2401,1,3,1,0,0,1,0,1
1169,1170,2,63,25,0,1,0,1,7,4,17,4,1,1,0,0,0,4,0,625,1,7,1,0,0,1,0,0
1170,1171,7,43,45,1,1,0,1,0,8,18,8,1,1,6,68,24,8,6,2025,1,0,1,0,0,0,1,1
1172,1173,10,63,24,1,1,0,1,10,1,18,1,1,1,1,86,22,4,10,576,1,10,1,0,0,0,0,1
1173,1174,9,50,38,0,1,0,1,7,6,18,5,1,1,0,0,0,6,0,1444,1,7,1,0,0,0,0,0
1175,1176,6,68,20,0,1,0,0,0,1,16,1,1,0,0,0,0,1,0,400,1,0,0,0,0,1,1,0
1176,1177,11,41,46,0,1,0,0,0,7,18,7,1,1,3,72,30,10,4,2116,1,0,1,0,0,0,1,1
1177,1178,6,65,23,0,1,0,0,7,2,17,2,1,1,0,0,0,4,0,529,1,7,1,0,0,1,0,0
1179,1180,2,67,21,0,1,0,0,7,1,18,1,1,1,12,87,20,4,7,441,1,7,1,0,0,1,0,1
1180,1181,6,40,48,0,1,0,0,0,8,18,7,1,0,7,57,17,8,5,2304,1,0,1,0,0,1,1,1
1182,1183,6,67,21,1,0,0,0,6,1,19,1,1,0,0,0,0,5,0,441,1,6,0,0,0,1,0,0
1184,1185,6,50,38,1,1,0,0,7,3,22,3,1,1,6,76,26,5,10,1444,1,7,0,0,1,1,0,1
1185,1186,1,73,15,1,1,0,0,9,1,15,1,1,0,0,0,0,5,0,225,1,9,0,1,0,1,0,0
1187,1188,10,63,24,1,1,0,1,10,1,19,1,1,1,0,0,0,4,0,576,1,10,0,0,1,0,0,0
1189,1190,2,69,19,1,1,1,0,6,1,18,1,1,0,6,86,17,1,7,361,1,6,0,0,0,1,0,1
1191,1192,12,52,35,0,1,0,0,3,6,18,6,1,1,6,76,23,7,7,1225,1,3,1,0,0,0,0,1
1192,1193,3,66,22,0,1,0,0,5,2,16,1,1,1,0,0,0,4,0,484,1,5,1,0,0,1,0,0
1193,1194,4,69,19,0,1,0,0,2,1,17,1,1,0,0,0,0,6,0,361,1,2,1,0,0,1,0,0
1194,1195,7,52,36,0,1,0,0,0,1,34,1,1,0,7,72,20,4,5,1296,1,0,0,0,0,0,1,1
1196,1197,7,46,42,0,1,0,0,3,8,15,6,1,1,8,62,16,5,0,1764,1,3,1,0,0,0,0,1
1197,1198,7,52,36,0,1,0,0,5,5,16,5,1,1,7,74,22,6,10,1296,1,5,1,0,0,0,0,1
1199,1200,8,70,18,0,1,0,0,7,1,15,1,1,1,11,87,17,4,12,324,1,7,0,1,0,0,0,1
1200,1201,12,72,15,0,1,0,0,6,1,15,1,1,1,0,0,0,3,0,225,1,6,0,1,0,0,0,0
1201,1202,6,57,31,0,1,0,1,4,5,19,5,1,1,7,77,20,5,7,961,1,4,0,0,0,1,0,1
1203,1204,8,44,44,0,1,0,0,8,7,21,7,1,1,6,67,22,4,9,1936,1,8,0,0,1,0,0,1
1204,1205,12,56,31,0,1,0,1,10,5,19,4,1,1,3,78,21,10,7,961,1,10,1,0,0,0,0,1
1206,1207,6,56,32,0,1,0,0,3,6,17,5,1,1,2,86,29,4,7,1024,1,3,0,1,0,1,0,1
1207,1208,4,63,25,0,1,0,1,6,1,15,1,1,1,0,0,0,6,0,625,1,6,0,1,0,1,0,0
1210,1211,4,67,21,1,1,0,1,8,2,17,2,1,1,1,87,19,4,3,441,1,8,0,0,0,1,0,1
1212,1213,6,42,46,0,0,0,0,1,9,18,8,1,0,1,61,18,6,3,2116,1,1,0,0,0,1,0,1
1215,1216,5,65,23,0,1,0,0,4,2,18,2,1,1,6,87,22,4,9,529,1,4,0,0,0,1,0,1
1217,1218,6,62,26,0,1,0,1,3,4,16,4,1,0,11,79,17,0,0,676,1,3,0,0,0,1,0,1
1218,1219,11,58,29,0,1,0,0,7,3,19,3,1,1,11,81,23,4,10,841,1,7,1,0,0,0,0,1
1219,1220,10,62,26,0,1,0,0,10,2,19,1,1,1,8,82,19,4,12,676,1,10,0,1,0,0,0,1
1220,1221,12,59,28,0,0,0,0,7,2,19,2,1,1,12,84,25,0,7,784,1,7,1,0,0,0,0,1
1221,1222,6,58,30,0,1,0,1,12,3,19,3,1,1,9,83,25,3,7,900,1,12,0,0,1,1,0,1
1223,1224,6,70,18,0,0,0,0,8,1,17,1,1,1,1,87,16,6,10,324,1,8,0,0,1,1,0,1
1224,1225,10,61,27,0,1,0,1,10,3,17,3,1,1,0,0,0,4,0,729,1,10,1,0,0,0,0,0
1225,1226,6,61,27,0,1,0,1,10,2,18,2,1,1,0,0,0,3,0,729,1,10,1,0,0,1,0,0
1226,1227,1,63,25,0,1,0,1,7,3,18,3,1,1,8,86,23,4,0,625,1,7,1,0,0,1,0,1
1227,1228,7,68,20,0,1,0,1,7,1,19,1,1,1,4,88,19,2,9,400,1,7,1,0,0,0,0,1
1228,1229,1,69,19,0,1,0,0,8,1,15,1,1,1,0,0,0,4,0,361,1,8,0,0,0,1,0,0
1230,1231,7,42,46,0,1,0,1,4,7,14,6,1,0,4,86,43,7,12,2116,1,4,1,0,0,0,0,1
1231,1232,11,70,17,0,1,0,1,10,2,16,2,1,1,0,0,0,4,0,289,1,10,1,0,0,0,0,0
1232,1233,4,54,34,0,0,0,0,5,4,21,4,1,1,9,76,22,6,7,1156,1,5,1,0,0,1,0,1
1233,1234,5,60,28,0,1,0,1,0,6,17,5,1,1,1,76,15,12,0,784,1,0,1,0,0,1,1,1
1234,1235,8,69,19,0,1,0,1,5,2,16,2,1,1,12,84,15,14,0,361,1,5,0,0,0,0,0,1
1235,1236,6,57,31,0,1,0,0,10,4,21,4,1,0,9,77,20,6,5,961,1,10,1,0,0,1,0,1
1236,1237,3,64,24,0,1,0,0,12,1,24,1,1,1,10,86,22,8,7,576,1,12,1,0,0,1,0,1
1238,1239,12,71,16,0,1,0,0,8,1,16,1,1,0,0,0,0,8,0,256,1,8,1,0,0,0,0,0
1239,1240,2,71,17,0,1,0,0,0,1,12,1,1,0,0,0,0,3,0,289,1,0,1,0,0,1,1,0
1240,1241,9,57,31,0,1,0,0,12,1,25,1,1,1,4,81,23,4,10,961,1,12,1,0,0,0,0,1
1241,1242,11,69,18,0,1,0,0,8,1,17,1,1,1,0,0,0,4,0,324,1,8,1,0,0,0,0,0
1243,1244,10,56,32,0,1,0,0,5,3,15,3,1,1,11,75,19,5,7,1024,1,5,1,0,0,0,0,1
1244,1245,8,68,20,0,1,0,0,10,1,18,1,1,1,0,0,0,4,0,400,1,10,0,0,1,0,0,0
1245,1246,6,64,24,0,1,0,0,10,3,16,3,1,1,2,87,22,6,7,576,1,10,1,0,0,1,0,1
1246,1247,11,63,24,0,0,0,0,6,2,17,2,1,0,10,87,23,6,10,576,1,6,1,0,0,0,0,1
1247,1248,1,66,22,0,0,0,1,0,2,19,2,1,1,2,83,17,3,7,484,1,0,1,0,0,1,1,1
1248,1249,5,52,36,0,1,0,0,4,2,17,2,1,0,6,81,29,6,12,1296,1,4,1,0,0,1,0,1
1250,1251,6,53,35,0,0,0,0,0,4,21,4,1,1,1,71,17,6,9,1225,1,0,0,0,0,1,1,1
1251,1252,6,43,45,0,1,0,1,5,4,15,3,1,0,8,58,15,4,0,2025,1,5,1,0,0,1,0,1
1252,1253,1,60,28,0,0,0,0,0,5,18,5,1,1,12,84,24,5,10,784,1,0,0,1,0,1,1,1
1253,1254,6,55,33,0,1,0,0,0,5,17,4,1,1,1,83,27,6,7,1089,1,0,1,0,0,1,1,1
1254,1255,1,69,19,0,1,0,0,6,1,15,1,1,0,0,0,0,5,0,361,1,6,0,0,1,1,0,0
1256,1257,7,66,22,0,1,0,1,7,2,19,2,1,0,9,84,18,6,7,484,1,7,1,0,0,0,0,1
1257,1258,5,57,31,0,1,0,1,1,4,19,4,1,1,12,83,26,5,5,961,1,1,0,0,0,1,0,1
1258,1259,7,58,30,0,0,0,0,4,4,18,4,1,1,8,83,25,5,7,900,1,4,1,0,0,0,0,1
1259,1260,9,48,40,0,0,0,0,6,3,21,2,1,1,0,0,0,4,0,1600,1,6,0,0,0,0,0,0
1260,1261,10,58,30,0,0,0,1,5,3,22,3,1,1,8,76,17,6,0,900,1,5,0,0,0,0,0,1
1261,1262,6,65,23,0,1,0,1,7,2,17,2,1,0,10,80,15,7,10,529,1,7,1,0,0,1,0,1
1262,1263,3,65,23,0,0,0,1,8,3,17,3,1,1,7,83,18,5,7,529,1,8,1,0,0,1,0,1
1263,1264,6,54,34,0,1,0,0,8,1,17,1,1,0,2,87,32,6,0,1156,1,8,1,0,0,1,0,1
1264,1265,12,58,29,0,0,0,1,0,6,20,4,1,1,0,0,0,4,0,841,1,0,0,0,0,0,1,0
1265,1266,11,59,28,0,1,0,0,7,2,23,2,1,1,11,86,27,4,7,784,1,7,1,0,0,0,0,1
1266,1267,6,55,33,0,0,0,0,0,4,15,4,1,0,3,86,30,5,0,1089,1,0,1,0,0,1,1,1
1267,1268,11,60,27,0,1,0,0,10,3,19,3,1,1,1,86,25,3,7,729,1,10,1,0,0,0,0,1
1268,1269,11,60,27,0,0,0,1,9,3,18,3,1,1,10,76,15,1,10,729,1,9,1,0,0,0,0,1
1270,1271,1,50,38,0,1,0,1,7,7,21,6,1,1,1,71,21,6,5,1444,1,7,0,1,0,1,0,1
1271,1272,10,40,47,1,1,0,1,6,8,20,8,1,0,4,71,30,8,10,2209,1,6,0,1,0,0,0,1
1272,1273,8,71,17,1,1,0,1,9,1,16,1,1,0,0,0,0,5,0,289,1,9,0,1,0,0,0,0
1273,1274,2,61,27,0,1,0,0,10,4,19,3,1,1,0,0,0,6,0,729,1,10,0,0,1,1,0,0
1274,1275,8,65,23,0,1,0,0,10,2,18,1,1,1,12,81,16,4,12,529,1,10,0,1,0,0,0,1
1275,1276,5,68,20,0,1,0,0,8,1,17,1,1,0,0,0,0,7,0,400,1,8,0,1,0,1,0,0
1276,1277,6,64,24,0,1,0,0,6,3,17,3,1,0,11,85,21,7,10,576,1,6,0,0,0,1,0,1
1277,1278,8,58,30,0,1,0,0,10,2,18,2,1,1,3,76,17,2,10,900,1,10,1,0,0,0,0,1
1278,1279,12,49,38,0,1,0,0,5,6,17,6,1,1,2,66,16,8,7,1444,1,5,0,0,1,0,0,1
1279,1280,8,52,36,0,1,0,0,5,6,16,5,1,1,0,0,0,6,0,1296,1,5,0,1,0,0,0,0
1281,1282,1,61,27,0,1,0,0,6,2,16,2,1,1,0,0,0,2,0,729,1,6,0,0,0,1,0,0
1282,1283,8,63,25,0,1,0,0,8,1,21,1,1,0,0,0,0,6,0,625,1,8,1,0,0,0,0,0
1286,1287,6,61,27,0,1,0,0,8,3,19,3,1,1,0,0,0,3,0,729,1,8,0,1,0,1,0,0
1287,1288,1,67,21,0,1,0,0,7,2,15,1,1,1,0,0,0,5,0,441,1,7,1,0,0,1,0,0
1288,1289,2,63,25,0,1,0,0,7,1,21,1,1,1,0,0,0,5,0,625,1,7,1,0,0,1,0,0
1289,1290,10,69,18,0,1,0,0,7,1,15,1,1,1,0,0,0,3,0,324,1,7,1,0,0,0,0,0
1291,1292,5,47,41,0,1,0,0,3,8,18,7,1,1,2,67,19,7,5,1681,1,3,1,0,0,1,0,1
1293,1294,4,70,18,0,0,0,0,8,1,17,1,1,0,0,0,0,4,0,324,1,8,1,0,0,1,0,0
1294,1295,10,59,28,0,1,0,1,0,3,20,3,1,1,12,80,21,7,4,784,1,0,1,0,0,0,1,1
1296,1297,12,63,24,0,1,0,1,10,1,22,1,1,1,4,84,20,4,10,576,1,10,0,0,0,0,0,1
1297,1298,8,48,40,0,0,0,0,0,7,25,5,1,0,4,73,24,0,0,1600,1,0,1,0,0,0,1,1
1298,1299,3,63,25,0,0,0,0,4,3,16,3,1,1,2,88,24,6,7,625,1,4,0,0,1,1,0,1
1299,1300,5,65,23,0,0,0,0,6,2,19,2,1,0,10,83,18,5,4,529,1,6,0,1,0,1,0,1
1300,1301,6,47,41,0,0,0,0,0,8,21,6,1,0,12,68,21,4,0,1681,1,0,1,0,0,1,1,1
1301,1302,8,40,48,0,1,0,0,0,5,24,4,1,1,0,0,0,4,0,2304,1,0,1,0,0,0,1,0
1302,1303,6,58,30,0,1,0,1,4,5,17,4,1,1,4,78,19,4,7,900,1,4,0,0,0,1,0,1
1303,1304,6,39,49,0,1,0,1,3,9,22,9,1,0,11,71,32,10,7,2401,1,3,1,0,0,1,0,1
1304,1305,6,67,21,0,1,0,1,12,1,19,1,1,1,0,0,0,4,0,441,1,12,1,0,0,1,0,0
1306,1307,4,61,27,0,1,0,0,7,3,17,3,1,1,6,80,19,5,7,729,1,7,1,0,0,1,0,1
1309,1310,1,68,20,0,1,0,0,7,1,17,1,1,1,0,0,0,6,0,400,1,7,1,0,0,1,0,0
1310,1311,6,53,35,0,1,0,1,7,7,17,7,1,1,4,75,21,7,4,1225,1,7,1,0,0,1,0,1
1312,1313,7,49,39,0,1,0,0,5,10,15,9,1,1,9,70,21,10,6,1521,1,5,0,1,0,0,0,1
1313,1314,11,45,42,1,1,1,1,12,2,22,2,1,1,2,67,21,2,12,1764,1,12,0,0,1,0,0,1
1314,1315,12,58,29,0,1,0,0,7,1,16,1,1,0,0,0,0,4,0,841,1,7,1,0,0,0,0,0
1315,1316,12,64,23,0,1,0,0,10,1,16,1,1,1,0,0,0,4,0,529,1,10,0,0,0,0,0,0
1316,1317,9,66,22,0,0,0,0,7,1,21,1,1,0,0,0,0,4,0,484,1,7,0,0,0,0,0,0
1318,1319,3,66,22,0,0,0,0,7,3,16,3,1,1,0,0,0,4,0,484,1,7,1,0,0,1,0,0
1320,1321,9,54,34,1,1,0,1,7,3,21,3,1,1,9,75,21,3,10,1156,1,7,0,1,0,0,0,1
1322,1323,6,56,32,0,1,0,0,12,2,23,2,1,1,12,85,29,4,10,1024,1,12,1,0,0,1,0,1
1325,1326,7,66,22,0,1,0,1,7,3,16,3,1,1,0,0,0,3,0,484,1,7,0,1,0,0,0,0
1326,1327,10,69,19,1,0,1,1,12,1,18,1,1,0,0,0,0,4,0,361,1,12,1,0,0,0,0,0
1328,1329,6,40,48,0,1,0,1,1,11,15,8,1,0,0,0,0,10,0,2304,1,1,0,0,1,1,0,0
1329,1330,10,61,27,0,1,0,1,10,1,16,1,1,1,0,0,0,2,0,729,1,10,0,0,1,0,0,0
1330,1331,12,59,28,0,1,0,0,7,2,21,2,1,1,6,75,15,4,10,784,1,7,0,1,0,0,0,1
1333,1334,10,56,32,0,1,0,0,7,2,19,2,1,1,0,0,0,4,0,1024,1,7,0,0,0,0,0,0
1335,1336,5,57,31,0,0,0,0,7,4,20,4,1,1,4,72,14,6,15,961,1,7,0,0,0,1,0,1
1336,1337,4,56,32,0,0,0,0,0,7,18,5,1,0,12,72,16,5,0,1024,1,0,1,0,0,1,1,1
